Projeto,Linha de ação,Região,Indicador regionalizado
1,1.1,Aricanduva (AF),3
1,1.1,Butantã (BT),15
1,1.1,Campo Limpo (CL),2
1,1.1,Capela do Socorro (CS),9
1,1.1,Casa Verde (CV),6
1,1.1,Cidade Ademar (AD),0
1,1.1,Cidade Tiradentes (CT),1
1,1.1,Ermelino Matarazzo (EM),4
1,1.1,Freguesia/Brasilândia (FO),4
1,1.1,Guaianases (G),1
1,1.1,Ipiranga (IP),7
1,1.1,Itaim Paulista (IT),4
1,1.1,Itaquera (IQ),2
1,1.1,Jabaquara (JA),2
1,1.1,Jaçanã/Tremembé (JT),0
1,1.1,Lapa (LA),1
1,1.1,M´Boi Mirim (MB),0
1,1.1,Mooca (MO),0
1,1.1,Parelheiros (PA),0
1,1.1,Penha (PE),2
1,1.1,Perus (PR),0
1,1.1,Pinheiros (PI),0
1,1.1,Pirituba/Jaraguá (PJ),6
1,1.1,Santana/Tucuruvi (ST),4
1,1.1,Santo Amaro (SA),0
1,1.1,São Mateus (SM),4
1,1.1,São Miguel Paulista (MP),4
1,1.1,Sapopemba (SP),1
1,1.1,Sé (SE),16
1,1.1,Vila Maria/Vila Guilherme (MG),0
1,1.1,Vila Mariana (VM),0
1,1.1,Vila Prudente (VP),2
1,1.1,A definir,0
1,1.1,Supraregional,0
1,1.2,Aricanduva (AF),6
1,1.2,Butantã (BT),20
1,1.2,Campo Limpo (CL),41
1,1.2,Capela do Socorro (CS),43
1,1.2,Casa Verde (CV),25
1,1.2,Cidade Ademar (AD),0
1,1.2,Cidade Tiradentes (CT),25
1,1.2,Ermelino Matarazzo (EM),22
1,1.2,Freguesia/Brasilândia (FO),25
1,1.2,Guaianases (G),25
1,1.2,Ipiranga (IP),45
1,1.2,Itaim Paulista (IT),25
1,1.2,Itaquera (IQ),25
1,1.2,Jabaquara (JA),9
1,1.2,Jaçanã/Tremembé (JT),7
1,1.2,Lapa (LA),20
1,1.2,M´Boi Mirim (MB),84
1,1.2,Mooca (MO),6
1,1.2,Parelheiros (PA),22
1,1.2,Penha (PE),24
1,1.2,Perus (PR),25
1,1.2,Pinheiros (PI),20
1,1.2,Pirituba/Jaraguá (PJ),25
1,1.2,Santana/Tucuruvi (ST),8
1,1.2,Santo Amaro (SA),0
1,1.2,São Mateus (SM),25
1,1.2,São Miguel Paulista (MP),25
1,1.2,Sapopemba (SP),15
1,1.2,Sé (SE),25
1,1.2,Vila Maria/Vila Guilherme (MG),15
1,1.2,Vila Mariana (VM),9
1,1.2,Vila Prudente (VP),9
1,1.2,A definir,0
1,1.2,Supraregional,0
1,1.3,Aricanduva (AF),0
1,1.3,Butantã (BT),3
1,1.3,Campo Limpo (CL),0
1,1.3,Capela do Socorro (CS),0
1,1.3,Casa Verde (CV),3
1,1.3,Cidade Ademar (AD),0
1,1.3,Cidade Tiradentes (CT),1
1,1.3,Ermelino Matarazzo (EM),2
1,1.3,Freguesia/Brasilândia (FO),3
1,1.3,Guaianases (G),1
1,1.3,Ipiranga (IP),1
1,1.3,Itaim Paulista (IT),1
1,1.3,Itaquera (IQ),1
1,1.3,Jabaquara (JA),0
1,1.3,Jaçanã/Tremembé (JT),0
1,1.3,Lapa (LA),1
1,1.3,M´Boi Mirim (MB),7
1,1.3,Mooca (MO),0
1,1.3,Parelheiros (PA),3
1,1.3,Penha (PE),1
1,1.3,Perus (PR),0
1,1.3,Pinheiros (PI),0
1,1.3,Pirituba/Jaraguá (PJ),1
1,1.3,Santana/Tucuruvi (ST),1
1,1.3,Santo Amaro (SA),0
1,1.3,São Mateus (SM),1
1,1.3,São Miguel Paulista (MP),1
1,1.3,Sapopemba (SP),1
1,1.3,Sé (SE),0
1,1.3,Vila Maria/Vila Guilherme (MG),0
1,1.3,Vila Mariana (VM),0
1,1.3,Vila Prudente (VP),0
1,1.3,A definir,0
1,1.3,Supraregional,0
1,1.4,Aricanduva (AF),1
1,1.4,Butantã (BT),11
1,1.4,Campo Limpo (CL),8
1,1.4,Capela do Socorro (CS),0
1,1.4,Casa Verde (CV),2
1,1.4,Cidade Ademar (AD),0
1,1.4,Cidade Tiradentes (CT),1
1,1.4,Ermelino Matarazzo (EM),0
1,1.4,Freguesia/Brasilândia (FO),6
1,1.4,Guaianases (G),0
1,1.4,Ipiranga (IP),0
1,1.4,Itaim Paulista (IT),3
1,1.4,Itaquera (IQ),7
1,1.4,Jabaquara (JA),3
1,1.4,Jaçanã/Tremembé (JT),0
1,1.4,Lapa (LA),1
1,1.4,M´Boi Mirim (MB),34
1,1.4,Mooca (MO),0
1,1.4,Parelheiros (PA),3
1,1.4,Penha (PE),3
1,1.4,Perus (PR),0
1,1.4,Pinheiros (PI),0
1,1.4,Pirituba/Jaraguá (PJ),0
1,1.4,Santana/Tucuruvi (ST),1
1,1.4,Santo Amaro (SA),0
1,1.4,São Mateus (SM),2
1,1.4,São Miguel Paulista (MP),6
1,1.4,Sapopemba (SP),3
1,1.4,Sé (SE),0
1,1.4,Vila Maria/Vila Guilherme (MG),5
1,1.4,Vila Mariana (VM),0
1,1.4,Vila Prudente (VP),0
1,1.4,A definir,0
1,1.4,Supraregional,0
1,1.9,Aricanduva (AF),0
1,1.9,Butantã (BT),1
1,1.9,Campo Limpo (CL),0
1,1.9,Capela do Socorro (CS),0
1,1.9,Casa Verde (CV),0
1,1.9,Cidade Ademar (AD),0
1,1.9,Cidade Tiradentes (CT),1
1,1.9,Ermelino Matarazzo (EM),0
1,1.9,Freguesia/Brasilândia (FO),0
1,1.9,Guaianases (G),0
1,1.9,Ipiranga (IP),0
1,1.9,Itaim Paulista (IT),1
1,1.9,Itaquera (IQ),0
1,1.9,Jabaquara (JA),0
1,1.9,Jaçanã/Tremembé (JT),1
1,1.9,Lapa (LA),0
1,1.9,M´Boi Mirim (MB),0
1,1.9,Mooca (MO),0
1,1.9,Parelheiros (PA),0
1,1.9,Penha (PE),2
1,1.9,Perus (PR),0
1,1.9,Pinheiros (PI),0
1,1.9,Pirituba/Jaraguá (PJ),2
1,1.9,Santana/Tucuruvi (ST),0
1,1.9,Santo Amaro (SA),0
1,1.9,São Mateus (SM),0
1,1.9,São Miguel Paulista (MP),3
